success,steps,planning_time,eval_episode
True,130,2.820474833017215,0
True,84,2.059703831328079,1
True,84,1.597084571607411,2
True,60,1.623028076486662,3
True,128,2.9868436586111784,4
True,144,3.850201294058934,5
True,62,1.842233420116827,6
True,69,1.2194067814853042,7
True,103,2.056580748874694,8
True,53,1.184908912749961,9
